branchiness, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
230, 39922, 3241, 18162
202, 48234, 2981, 12039
383, 83113, 3845, 24498
80, 16143, 1127, 2031
478, 87558, 5290, 46185
41, 11840, 1273, 1490
104, 36124, 1632, 4640
451, 79252, 4510, 38696
135, 30862, 2684, 12368
107, 23683, 1589, 3094
140, 22887, 1804, 4443
149, 32961, 1331, 8174
196, 43497, 2949, 13805
203, 57637, 3267, 11084
206, 50469, 2544, 8018
225, 43107, 2221, 10343
193, 35218, 2619, 14633
200, 55041, 2738, 12335
172, 42036, 4042, 14032
238, 52445, 2811, 12495
293, 57564, 5404, 35373
278, 53567, 4122, 22801
251, 45672, 3963, 20057
329, 72014, 3452, 20747
333, 60274, 3055, 18686
351, 80637, 4858, 29507
350, 90903, 4161, 28890
364, 57657, 3446, 30287
382, 62348, 3907, 33862
401, 62263, 3453, 33479
399, 88118, 4162, 24600
418, 94699, 5042, 30279
442, 89159, 5120, 32881
421, 75118, 4283, 31664
45, 11008, 364, 1851
45, 12920, 350, 2144
434, 71665, 4780, 42493
449, 72158, 4693, 35323
457, 106244, 5291, 30395
472, 110475, 5966, 50344
464, 104457, 5967, 37480
56, 14897, 1492, 1814
63, 12423, 635, 2102
68, 15097, 1559, 3566
75, 16561, 1700, 3968
491, 90972, 5290, 37537
77, 27041, 2643, 5213
78, 25681, 761, 2821
80, 14999, 437, 1953
90, 15412, 460, 3788
